Address,City,Property Type,Building Sq Ft,Estimated Units,Owner Name,Owner State,Tax Status,Zones,Distress Score,Google Maps Link
2900 NE 2 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,1939983,3879,PPF AMLI NE 2ND AVENUE LLC,IL,"Delinquent ($18,500)",OZ: 27.02,4/6,"https://www.google.com/maps/search/?api=1&query=25.805062,-80.191562"
710 NE 1 AVE,Miami,MIXED USE-STORE/RESIDENTIAL,907687,1815,MWT 1 LLC,NY,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,4/6,"https://www.google.com/maps/search/?api=1&query=25.781759,-80.192456"
3101 NE 1 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,869370,1738,MIAMI MIDTOWN VI OWNER LLC,IL,"Delinquent ($8,000)",CRA: Midtown Miami,4/6,"https://www.google.com/maps/search/?api=1&query=25.806319,-80.192309"
19501 BISCAYNE BLVD,Miami Gardens,DEPARTMENT STORE,864130,1728,AVENTURA MALL VENTURE,OH,"Delinquent ($19,550)",OZ: 1.34,4/6,"https://www.google.com/maps/search/?api=1&query=25.954565,-80.140522"
698 NE 1 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,845870,1691,"BLOCK G PHASE 1, LLC",CA,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,4/6,"https://www.google.com/maps/search/?api=1&query=25.780769,-80.192924"
6600 SW 57 AVE,Cutler Bay,MULTIFAMILY 10 UNITS PLUS,759863,1519,SCG ATLAS RED ROAD COMMONS LLC,CA,"Delinquent ($18,500)",OZ: 76.03,4/6,"https://www.google.com/maps/search/?api=1&query=25.709293,-80.286264"
1756 N BAYSHORE DR,Miami,MULTIFAMILY 10 UNITS PLUS,737810,1475,BAY PARC PLAZA APT LP,TX,"Delinquent ($18,500)",CRA: Omni,4/6,"https://www.google.com/maps/search/?api=1&query=25.792879,-80.187262"
125 NE 32 ST,Miami,MULTIFAMILY 10 UNITS PLUS,701056,1402,SE MIDTOWN 5 LLC,NY,"Delinquent ($18,500)",CRA: Midtown Miami,4/6,"https://www.google.com/maps/search/?api=1&query=25.806792,-80.192193"
2000 BISCAYNE BLVD,Miami,MULTIFAMILY 10 UNITS PLUS,695868,1391,2000 BISCAYNE FEE OWNER LLC,NY,"Delinquent ($8,000)",CRA: Omni + OZ: 27.02,4/6,"https://www.google.com/maps/search/?api=1&query=25.795545,-80.189565"
400 NW 1 AVE,Miami,MIXED USE-STORE/RESIDENTIAL,655148,1310,DT RESIDENTIAL SOUTH LLC,VA,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,4/6,"https://www.google.com/maps/search/?api=1&query=25.777851,-80.195738"
400 NW 1 AVE,Miami,MIXED USE-STORE/RESIDENTIAL,655148,1310,DT RESIDENTIAL SOUTH LLC,VA,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,4/6,"https://www.google.com/maps/search/?api=1&query=25.778111,-80.19603"
400 NW 1 AVE,Miami,MIXED USE-STORE/RESIDENTIAL,655148,1310,DT RESIDENTIAL SOUTH LLC,VA,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,4/6,"https://www.google.com/maps/search/?api=1&query=25.778283,-80.195766"
400 NW 1 AVE,Miami,MIXED USE-STORE/RESIDENTIAL,655148,1310,DT RESIDENTIAL SOUTH LLC,VA,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,4/6,"https://www.google.com/maps/search/?api=1&query=25.778639,-80.195834"
400 NW 1 AVE,Miami,MIXED USE-STORE/RESIDENTIAL,655148,1310,DT RESIDENTIAL SOUTH LLC,VA,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,4/6,"https://www.google.com/maps/search/?api=1&query=25.778707,-80.195725"
1633 N BAYSHORE DR,Miami,HOTEL OR MOTEL,643107,1286,BISCAYNE BAY LAND EAT LLC,AZ,"Delinquent ($9,050)",CRA: Omni,4/6,"https://www.google.com/maps/search/?api=1&query=25.790812,-80.186623"
