ZoneCategory,Address,BuildingSqFt,PropertyType,OwnerName,OwnerState
CRA + OZ,1000 NW 1 AVE,179072,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,ARK DEVELOPMENT/OVERTOWN I LLC,FL
CRA + OZ,919 NW 2 AVE,271269,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,LYRIC HOUSING LTD,MA
CRA + OZ,218 NW 8 ST,516808,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,AVANTI RESIDENTIAL ARTE,CO
CRA + OZ,N/A,526183,PARKING LOT/MOBILE HOME PARK : PARKING LOT,SAWYER'S LANDING COMM DEV DIST,FL
CRA + OZ,161 NW 6 ST,170681,OFFICE BUILDING - MULTISTORY : COMMERCIAL - TOTAL VALUE,B9 3MC OWNER LLC,NY
CRA + OZ,161 NW 6 ST,170681,OFFICE BUILDING - MULTISTORY : COMMERCIAL - TOTAL VALUE,B9 3MC OWNER LLC,NY
CRA + OZ,161 NW 6 ST,443631,PARKING LOT/MOBILE HOME PARK : COMMERCIAL - TOTAL VALUE,B9 3MC OWNER LLC,NY
CRA + OZ,161 NW 6 ST,443631,PARKING LOT/MOBILE HOME PARK : COMMERCIAL - TOTAL VALUE,B9 3MC OWNER LLC,NY
CRA + OZ,161 NW 6 ST,443631,PARKING LOT/MOBILE HOME PARK : COMMERCIAL - TOTAL VALUE,B9 3MC OWNER LLC,NY
CRA + OZ,161 NW 6 ST,443631,PARKING LOT/MOBILE HOME PARK : COMMERCIAL - TOTAL VALUE,B9 3MC OWNER LLC,NY
CRA + OZ,161 NW 6 ST,443631,PARKING LOT/MOBILE HOME PARK : COMMERCIAL - TOTAL VALUE,B9 3MC OWNER LLC,NY
CRA + OZ,161 NW 6 ST,443631,PARKING LOT/MOBILE HOME PARK : COMMERCIAL - TOTAL VALUE,B9 3MC OWNER LLC,NY
CRA + OZ,161 NW 6 ST,152894,STORE : COMMERCIAL - TOTAL VALUE,B9 3MC RETAIL OWNER LLC,NY
CRA + OZ,161 NW 6 ST,152894,STORE : COMMERCIAL - TOTAL VALUE,B9 3MC RETAIL OWNER LLC,NY
CRA + OZ,161 NW 6 ST,152894,STORE : COMMERCIAL - TOTAL VALUE,B9 3MC RETAIL OWNER LLC,NY
CRA + OZ,600 NW 6 ST,323299,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,TUSCAN PLACE LTD PARTNERSHIP,MA
CRA + OZ,670 NW 6 ST,171447,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,TUSCAN PLACE II LTD PARTNERSHIP,MA
CRA + OZ,23 NE 17 TER,325757,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,WYNWOOD HAUS LLC,FL
CRA + OZ,1642 NE 1 AVE,374672,MIXED USE-STORE/RESIDENTIAL : MIXED USE - COMMERCIAL,UNI 17TH STREET LLC,FL
CRA + OZ,1951 NW 7 AVE,291755,PROFESSIONAL SERVICE BLDG : HEALTH CARE,7TH AVE MARKET LLC,AZ
CRA + OZ,1201 NW 3 AVE,158005,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,ISLAND LIVING APARTMENTS LTD,FL
CRA + OZ,1657 N MIAMI AVE,210658,MULTIFAMILY 10 UNITS PLUS : MULTIFAMILY 3 OR MORE UNITS,FSL DEVELOPMENT LLC,FL
